rank,pano_id,best_yaw,lng,lat,best_view_path,best_view_score,prompt_best,num_views,num_views_above_thresh
218,JURr8QKCMRQKHsCmGGdD3A,90,9.065611367,45.44425728,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\JURr8QKCMRQKHsCmGGdD3A_090.jpg,0.21606445,public bench,4,1
219,Zk2m-bH4VcpnUi1Gpawy7g,270,9.153671825,45.45366934,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Zk2m-bH4VcpnUi1Gpawy7g_270.jpg,0.21606445,street benches,4,1
220,tVEDDRHBi5CNp64WpIBXBA,90,9.1433068,45.4938149,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\tVEDDRHBi5CNp64WpIBXBA_090.jpg,0.21606445,public bench,4,1
221,X5VS-vPBfxDSYeAH-Htxnw,90,9.0880268,45.4574471,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\X5VS-vPBfxDSYeAH-Htxnw_090.jpg,0.21606445,bench near the curb,4,1
222,MrM2w0fKTxGgWwFjthVYig,270,9.2053034,45.4504563,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\MrM2w0fKTxGgWwFjthVYig_270.jpg,0.21594238,public bench,4,1
223,hxvw2Al_wOkZpc9_98IJnQ,270,9.216681169,45.44354657,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\hxvw2Al_wOkZpc9_98IJnQ_270.jpg,0.21594238,benches on the sidewalk,4,1
224,bXuBrvr92OJgiSHzO8tGBw,270,9.1240521,45.5026958,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\bXuBrvr92OJgiSHzO8tGBw_270.jpg,0.21594238,bench near the curb,4,1
225,T3RDNmZVO8-OqLT4D3Xvjw,90,9.216735284,45.43674335,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\T3RDNmZVO8-OqLT4D3Xvjw_090.jpg,0.21582031,benches along the street,4,1
226,M0Sm-Yku_tteKiwXjZ8RAQ,270,9.202383906,45.45342406,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\M0Sm-Yku_tteKiwXjZ8RAQ_270.jpg,0.21582031,benches along the street,4,1
227,0HHj-wiPiKdey5yPDiC_lg,270,9.212027309,45.47253164,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\0HHj-wiPiKdey5yPDiC_lg_270.jpg,0.21582031,benches on the sidewalk,4,1
228,tUDYx1MeXjruaq42RGPk3A,90,9.157848033,45.51363107,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\tUDYx1MeXjruaq42RGPk3A_090.jpg,0.21582031,bench near the curb,4,1
229,nVmC5vPO8zpmgKQDjbTIEg,90,9.185631837,45.47895853,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\nVmC5vPO8zpmgKQDjbTIEg_090.jpg,0.21582031,street benches,4,1
230,ybodAZEVAsKDr5nYfjYaTg,90,9.198509896,45.47775894,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ybodAZEVAsKDr5nYfjYaTg_090.jpg,0.21582031,benches on the sidewalk,4,1
231,yQ7JEiLculauP8ovU1IvpQ,90,9.066838938,45.46234541,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\yQ7JEiLculauP8ovU1IvpQ_090.jpg,0.21569824,bench near the curb,4,1
232,bNny7gs2L41BW47uocWNug,90,9.2242077,45.4386638,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\bNny7gs2L41BW47uocWNug_090.jpg,0.21569824,benches along the street,4,1
233,VRGIzOsYqjeb0G1DXgdHng,90,9.2509441,45.4872489,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VRGIzOsYqjeb0G1DXgdHng_090.jpg,0.21569824,bench near the curb,4,1
234,Jc2sy1tO6giL2x_ysL7qpw,270,9.0741241,45.4975273,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Jc2sy1tO6giL2x_ysL7qpw_270.jpg,0.21569824,bench near the curb,4,1
235,X1ykvjJ8o11bS77u8HUe6w,90,9.119256774,45.48132444,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\X1ykvjJ8o11bS77u8HUe6w_090.jpg,0.21569824,bench near the curb,4,1
236,1q-AU2qcXzQr8VlTiASzUg,90,9.115940218,45.45989578,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\1q-AU2qcXzQr8VlTiASzUg_090.jpg,0.21569824,bench near the curb,4,1
237,CWQHAvNvB2EHrY1OHC6CPQ,90,9.179965338,45.45301807,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\CWQHAvNvB2EHrY1OHC6CPQ_090.jpg,0.21557617,public bench,4,1
238,_SMAnfh0glOtmFdwyz92yA,180,9.2252043,45.4809319,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\_SMAnfh0glOtmFdwyz92yA_180.jpg,0.21557617,benches along the street,4,1
239,a0Cr-2MbZ3bC9ZKNE0u1qA,90,9.183964,45.5136672,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\a0Cr-2MbZ3bC9ZKNE0u1qA_090.jpg,0.21557617,bench near the curb,4,1
240,MI-02Lwk6W1_dPou8MTLgg,90,9.196865454,45.4998608,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\MI-02Lwk6W1_dPou8MTLgg_090.jpg,0.21557617,street benches,4,1
241,sy79p8T7GAOjHldi2Ho-EA,180,9.173442193,45.47578668,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\sy79p8T7GAOjHldi2Ho-EA_180.jpg,0.21557617,bench near the curb,4,1
242,E-m7PcfPIzbq5a9LOa9IQQ,90,9.089174764,45.46435635,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\E-m7PcfPIzbq5a9LOa9IQQ_090.jpg,0.21557617,bench near the curb,4,1
243,frk_duL9rzCqChSPYeXN3Q,90,9.145190059,45.48541426,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\frk_duL9rzCqChSPYeXN3Q_090.jpg,0.21557617,bench near the curb,4,1
244,0H9YRPtEkuX4wsKjsu_5gA,270,9.147971637,45.45035959,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\0H9YRPtEkuX4wsKjsu_5gA_270.jpg,0.2154541,benches along the street,4,1
245,xTrCGHc88u7D9eZPO3S7YQ,0,9.2395422,45.4351078,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\xTrCGHc88u7D9eZPO3S7YQ_000.jpg,0.2154541,bench near the curb,4,1
246,QdhvJZDMOAXES0l9S1tVFg,270,9.1607979,45.4583114,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\QdhvJZDMOAXES0l9S1tVFg_270.jpg,0.2154541,benches along the street,4,1
247,pE0KQxK1UuNMRnhkLmodTg,270,9.207951254,45.48748808,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\pE0KQxK1UuNMRnhkLmodTg_270.jpg,0.2154541,public bench,4,1
248,Ai4Z3pXk1Li7Fhr5huYoUA,90,9.21092721,45.42506204,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\Ai4Z3pXk1Li7Fhr5huYoUA_090.jpg,0.2154541,bench near the curb,4,1
249,1lWyIauOjjftmHR5BPrmaA,0,9.198735711,45.46931323,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\1lWyIauOjjftmHR5BPrmaA_000.jpg,0.2154541,street benches,4,1
250,yg0jB2vHXyB9h7CoUH7WGA,0,9.204901833,45.45388111,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\yg0jB2vHXyB9h7CoUH7WGA_000.jpg,0.2154541,street furniture benches,4,1
251,xWfeUpq_me2Db2b4Zu6qWA,270,9.2203445,45.4500683,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\xWfeUpq_me2Db2b4Zu6qWA_270.jpg,0.21533203,street furniture benches,4,1
252,GHQ_yRFEfYY0ZaQHBgD0bA,270,9.25033809,45.46191174,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\GHQ_yRFEfYY0ZaQHBgD0bA_270.jpg,0.21533203,bench near the curb,4,1
253,sS-DYPl-bciKZxSYo2vcIw,90,9.2644666,45.5136041,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\sS-DYPl-bciKZxSYo2vcIw_090.jpg,0.21533203,bench near the curb,4,1
254,NxvSq6xNbvJkIdLkMDFkJw,90,9.066118798,45.45708252,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\NxvSq6xNbvJkIdLkMDFkJw_090.jpg,0.21533203,bench near the curb,4,1
255,_4nxuBpmJS4TaCF3xeM3yg,180,9.1436586,45.4879165,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\_4nxuBpmJS4TaCF3xeM3yg_180.jpg,0.21533203,bench near the curb,4,1
256,C9lzsuAVl_SmUG6Bv3hgBw,270,9.154470848,45.45184781,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\C9lzsuAVl_SmUG6Bv3hgBw_270.jpg,0.21533203,bench near the curb,4,1
257,ws99Imhfh69o8KqHefLYlQ,270,9.172233895,45.5316305,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ws99Imhfh69o8KqHefLYlQ_270.jpg,0.21520996,bench near the curb,4,1
258,f7FSbukaXo47Vie_xjJIOA,0,9.182117509,45.45388749,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\f7FSbukaXo47Vie_xjJIOA_000.jpg,0.21520996,street benches,4,1
259,m5JnVsEFL_E504XU9bK2gA,90,9.1381627,45.4716274,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\m5JnVsEFL_E504XU9bK2gA_090.jpg,0.21508789,a bench on the sidewalk,4,1
260,hIRmOwWo8EvFpMOQ9hRWOw,90,9.1585122,45.5131909,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\hIRmOwWo8EvFpMOQ9hRWOw_090.jpg,0.21508789,public bench,4,1
261,dt0DXwsBtP8d_LAwfHztVw,90,9.19563677,45.50772753,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\dt0DXwsBtP8d_LAwfHztVw_090.jpg,0.21508789,benches along the street,4,1
262,6x1sD1P77HLE6P8aCm7jIw,90,9.127164385,45.49468399,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\6x1sD1P77HLE6P8aCm7jIw_090.jpg,0.21508789,benches along the street,4,1
263,x0BMGgOcQc29ihfx0Oir8g,0,9.1853221,45.4579508,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\x0BMGgOcQc29ihfx0Oir8g_000.jpg,0.21508789,street benches,4,1
264,wDmDdGI07jZhZSeXxV4Olw,270,9.183181757,45.43948917,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\wDmDdGI07jZhZSeXxV4Olw_270.jpg,0.21508789,benches along the street,4,1
