record_id,query_id,query_text,display_order,pano_id,best_yaw,image_path,image_file_name,web_path,top_20_M1,top_20_M2,top_20_M3,top_20_M4,top_20_M5,best_view_path
Q01_POOL_0014_J7XV,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",67,blXDCgzLGyNiV_ma4ELu_g,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\blXDCgzLGyNiV_ma4ELu_g_270.jpg,blXDCgzLGyNiV_ma4ELu_g_270.jpg,images/blXDCgzLGyNiV_ma4ELu_g_270.jpg,1,0,0,0,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\blXDCgzLGyNiV_ma4ELu_g_270.jpg
Q01_POOL_0015_G0FN,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",19,ohIm2SdJ1gIQffK2BYqrYg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ohIm2SdJ1gIQffK2BYqrYg_270.jpg,ohIm2SdJ1gIQffK2BYqrYg_270.jpg,images/ohIm2SdJ1gIQffK2BYqrYg_270.jpg,1,0,0,0,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\ohIm2SdJ1gIQffK2BYqrYg_270.jpg
Q01_POOL_0016_9XUY,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",23,OyFey7TwV5GrhicRry6oiA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\OyFey7TwV5GrhicRry6oiA_270.jpg,OyFey7TwV5GrhicRry6oiA_270.jpg,images/OyFey7TwV5GrhicRry6oiA_270.jpg,0,0,1,0,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\OyFey7TwV5GrhicRry6oiA_270.jpg
Q01_POOL_0017_41IB,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",42,aD2j2wCCnw4tnnM_y4aOYQ,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\aD2j2wCCnw4tnnM_y4aOYQ_270.jpg,aD2j2wCCnw4tnnM_y4aOYQ_270.jpg,images/aD2j2wCCnw4tnnM_y4aOYQ_270.jpg,0,0,1,0,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\aD2j2wCCnw4tnnM_y4aOYQ_270.jpg
Q01_POOL_0018_LJH7,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",14,90L9lMBYvod2Jyy0JwajjQ,90,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\90L9lMBYvod2Jyy0JwajjQ_090.jpg,90L9lMBYvod2Jyy0JwajjQ_090.jpg,images/90L9lMBYvod2Jyy0JwajjQ_090.jpg,0,0,0,1,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\90L9lMBYvod2Jyy0JwajjQ_090.jpg
Q01_POOL_0019_5LXO,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",59,co7aGdotjirG7jIWaRXh4A,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\co7aGdotjirG7jIWaRXh4A_270.jpg,co7aGdotjirG7jIWaRXh4A_270.jpg,images/co7aGdotjirG7jIWaRXh4A_270.jpg,0,0,0,1,1,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\co7aGdotjirG7jIWaRXh4A_270.jpg
Q01_POOL_0020_6QJI,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",30,2bplupzItRwcd4jrhvrrPA,180,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\2bplupzItRwcd4jrhvrrPA_180.jpg,2bplupzItRwcd4jrhvrrPA_180.jpg,images/2bplupzItRwcd4jrhvrrPA_180.jpg,1,0,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\2bplupzItRwcd4jrhvrrPA_180.jpg
Q01_POOL_0021_UJV6,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",4,7zqc_5vCV9noJn-4mKEPwA,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\7zqc_5vCV9noJn-4mKEPwA_270.jpg,7zqc_5vCV9noJn-4mKEPwA_270.jpg,images/7zqc_5vCV9noJn-4mKEPwA_270.jpg,1,0,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\7zqc_5vCV9noJn-4mKEPwA_270.jpg
Q01_POOL_0022_OH9S,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",38,VahihbthkdDVRGmumgjzrg,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VahihbthkdDVRGmumgjzrg_270.jpg,VahihbthkdDVRGmumgjzrg_270.jpg,images/VahihbthkdDVRGmumgjzrg_270.jpg,1,0,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VahihbthkdDVRGmumgjzrg_270.jpg
Q01_POOL_0023_DBDW,Q01,"a safe, quiet place with lots of greenery where people can read outdoors",43,VuTIbd50JY4GQbVUCLy83w,270,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VuTIbd50JY4GQbVUCLy83w_270.jpg,VuTIbd50JY4GQbVUCLy83w_270.jpg,images/VuTIbd50JY4GQbVUCLy83w_270.jpg,1,0,0,0,0,D:\AAG\Milano_SVI\lang2img\0_Dataprocessing\views_4\VuTIbd50JY4GQbVUCLy83w_270.jpg
